Level	Height	Width	Mines	Time	3BV	Solved	3BV/sec	Est	Left	Middle	Right	Date	Started
Beg	8	8	10	17,00	15	15	0,88	17,00	17	0	10	mars 15 2022	09:02:58 AM
Beg	8	8	10	25,23	17	17	0,67	25,23	20	0	8	mars 17 2022	08:35:54 AM
Beg	8	8	10	1,22	13	2	1,64	7,93	5	0	0	mars 17 2022	08:37:56 AM
Beg	8	8	10	21,01	16	13	0,62	25,86	21	0	8	mars 17 2022	08:37:59 AM
Beg	8	8	10	1,87	22	3	1,60	13,71	7	0	0	mars 17 2022	08:38:22 AM
Beg	8	8	10	1,58	22	3	1,90	11,59	6	0	0	mars 17 2022	08:38:25 AM
Beg	8	8	10	12,85	5	4	0,31	16,06	6	0	6	mars 17 2022	08:38:35 AM
Beg	8	8	10	0,95	17	1	1,05	16,15	3	0	0	mars 17 2022	08:38:52 AM
Beg	8	8	10	14,23	10	4	0,28	35,58	7	0	5	mars 17 2022	08:38:59 AM
Beg	8	8	10	1,79	19	3	1,68	11,34	6	0	0	mars 17 2022	08:39:15 AM
Beg	8	8	10	0,86	22	1	1,16	18,92	2	0	0	mars 17 2022	08:39:18 AM
Beg	8	8	10	7,24	15	6	0,83	18,10	9	0	3	mars 17 2022	08:39:20 AM
Beg	8	8	10	10,77	20	5	0,46	43,08	11	0	5	mars 17 2022	08:39:29 AM
Beg	8	8	10	9,32	18	5	0,54	33,55	9	0	4	mars 17 2022	08:39:41 AM
Beg	8	8	10	9,56	14	4	0,42	33,46	6	1	6	mars 17 2022	08:39:52 AM
Beg	8	8	10	0,15	13	0	0,00	0,00	2	0	0	mars 17 2022	08:40:03 AM
Beg	8	8	10	0,18	16	0	0,00	0,00	2	0	0	mars 17 2022	08:40:05 AM
Beg	8	8	10	0,94	20	2	2,13	9,40	4	0	0	mars 17 2022	08:40:06 AM
Beg	8	8	10	4,51	9	1	0,22	40,59	9	0	1	mars 17 2022	08:40:09 AM
Beg	8	8	10	12,70	22	8	0,63	34,93	13	0	5	mars 17 2022	08:40:15 AM
Beg	8	8	10	5,25	11	4	0,76	14,44	5	1	3	mars 17 2022	08:41:07 AM
Beg	8	8	10	24,50	7	7	0,29	24,50	18	0	9	mars 17 2022	08:41:14 AM
Beg	8	8	10	14,91	11	9	0,60	18,22	12	0	6	mars 17 2022	08:55:42 AM
Beg	8	8	10	0,32	23	1	3,13	7,36	2	0	0	mars 17 2022	08:55:58 AM
Beg	8	8	10	15,76	17	11	0,70	24,36	17	0	7	mars 17 2022	08:55:59 AM
Beg	8	8	10	17,83	16	16	0,90	17,83	20	0	7	mars 17 2022	08:56:16 AM
Beg	8	8	10	1,58	18	3	1,90	9,48	5	0	0	mars 17 2022	08:57:14 AM
Beg	8	8	10	0,47	19	0	0,00	0,00	2	0	0	mars 17 2022	08:57:17 AM
Beg	8	8	10	1,47	12	1	0,68	17,64	2	0	0	mars 17 2022	09:12:17 AM
Beg	8	8	10	3,23	18	1	0,31	58,14	2	0	1	mars 17 2022	09:12:20 AM
Beg	8	8	10	2,20	15	2	0,91	16,50	3	0	1	mars 17 2022	09:12:24 AM
Beg	8	8	10	24,47	14	13	0,53	26,35	16	0	10	mars 17 2022	09:12:27 AM
Beg	8	8	10	10,95	12	9	0,82	14,60	13	0	6	mars 17 2022	09:13:00 AM
Beg	8	8	10	2,20	12	1	0,45	26,40	4	0	0	mars 17 2022	09:13:12 AM
Beg	8	8	10	2,84	14	1	0,35	39,76	3	0	2	mars 17 2022	09:13:16 AM
Beg	8	8	10	0,93	17	1	1,08	15,81	2	0	0	mars 17 2022	09:13:37 AM
Beg	8	8	10	12,68	20	15	1,18	16,91	18	0	4	mars 17 2022	09:13:40 AM
Beg	8	8	10	0,93	10	0	0,00	0,00	3	0	0	mars 17 2022	09:14:00 AM
Beg	8	8	10	0,31	18	1	3,23	5,58	2	0	0	mars 17 2022	09:14:03 AM
Beg	8	8	10	5,17	21	5	0,97	21,71	7	0	4	mars 17 2022	09:14:04 AM
Beg	8	8	10	9,08	19	10	1,10	17,25	15	0	3	mars 17 2022	09:14:12 AM
Int	16	16	40	2,26	66	2	0,88	74,58	6	0	0	mars 17 2022	09:25:19 AM
Int	16	16	40	0,95	81	1	1,05	76,95	3	0	0	mars 17 2022	09:25:22 AM
Int	16	16	40	0,74	82	2	2,70	30,34	3	0	0	mars 17 2022	09:25:25 AM
Int	16	16	40	1,11	93	2	1,80	51,62	4	0	0	mars 17 2022	09:25:27 AM
Int	16	16	40	0,89	67	0	0,00	0,00	4	0	0	mars 17 2022	09:25:29 AM
Int	16	16	40	2,53	53	2	0,79	67,05	5	0	0	mars 17 2022	09:25:32 AM
Int	16	16	40	0,33	66	1	3,03	21,78	2	0	0	mars 17 2022	09:25:36 AM
Int	16	16	40	20,43	83	11	0,54	154,15	18	0	8	mars 17 2022	09:25:37 AM
Int	16	16	40	0,30	69	1	3,33	20,70	2	0	0	mars 17 2022	09:26:00 AM
Int	16	16	40	0,31	67	1	3,23	20,77	2	0	0	mars 17 2022	09:26:02 AM
Int	16	16	40	2,04	75	3	1,47	51,00	6	0	0	mars 17 2022	09:26:04 AM
Int	16	16	40	0,84	48	1	1,19	40,32	2	0	0	mars 17 2022	09:26:07 AM
Int	16	16	40	2,70	90	2	0,74	121,50	7	0	0	mars 17 2022	09:26:09 AM
Int	16	16	40	10,51	72	3	0,29	252,24	12	2	0	mars 17 2022	09:26:13 AM
Int	16	16	40	1,73	46	3	1,73	26,53	6	0	0	mars 17 2022	09:26:25 AM
